傲睨一世,昂首望天
未几,不多
不违农时,不夺农时
不贰,不二
铁价,不二价
不二,不贰
不胜枚举,不乏其人
非法,不法
非凡,不凡
没关系,不妨
没关系,不妨事
轻视,不放在眼里
难分轩轾,不分高下
不顾曲直,不分皁白
不够,不敷
不顺手,不伏手
不服水土,不伏水土
不平,不服
水土不服,不服水土
不应,不该
吞声忍气,不敢则声
你死我活,不共戴天
道貌岸然,不苟言笑
不敷,不够
未入流,不够格
掉臂,不顾
不分皁白,不顾曲直
不拘小节,不顾外表
悍然不顾,不顾一切
不但,不光
不外,不过
小心翼翼,不寒而栗
欠好,不好
分歧,不合
不对,不合错误
不达时宜,不合时宜
反面,不和
半推半就,不即不离
不可胜数,不计其数
欠安,不佳
不露锋芒,不见圭角
不断,不竭
不但,不仅
风行一时,不胫而走
未几,不久不多
不顾外表,不拘小节
未定,不决
不停,不绝
不易之论,不刊之论
不胜,不堪
不行,不可
多如牛毛,不可偻指算
不计其数,不可胜数
难以想象,不可思议
咄咄逼人,不可一世
不能,不克不及
不愿,不肯
烦懑,不快
不稂不莠,不郎不秀
不郎不秀,不稂不莠
坐享其成,不劳而获
不睬,不理
倒霉,不利
不意,不料
不惜,不吝
不吝指教,不吝金玉
不吝珠玉,不吝指教
不吝指教,不吝珠玉
不留心,不留神
不留神,不留心
杀鸡取卵,不留余地
不见圭角,不露锋芒
不露锋芒,不露圭角
不露声色,不露神色
不露神色,不露声色
稳定,不乱
不正经,不伦不类
岂论,不论
不落俗套,不落窠臼
不落窠臼,不落俗套
难免,不免
未免,不免难免
不约而合,不谋而合
不克不及,不能
不能胜数,不能尽数
不能尽数,不能胜数
欲罢不能,不能自休
不能自制,不能自已
不能自已,不能自制
不宁奈,不宁不奈
不宁耐,不宁不耐
不宁不奈,不宁奈
不宁不耐,不宁耐
数奇,不偶
中庸之道,不偏不倚
不屈,不平
萍水相逢,不期而遇
生吞活剥,不求甚解
不平,不屈
奋不顾身,不屈不挠
否则,不然
冰清玉洁,不染纤尘
克日,不日
幸不辱命,不辱使命
不中听,不入耳
不伦不类,不三不四
惠而不费,不伤脾胃
处境尴尬,不上不下
失慎,不慎
不堪,不胜
不乏其人,不胜枚举
昏迷不醒,不省人事
时时,不时
不识时务,不识时变
不识时变,不识时务
不识之无,不识一丁
不识一丁,不识之无
不吃烟火食,不食人间烟火
不安于室,不守妇道
不伏手,不顺手
非死即伤,不死即伤
不绝,不停
欠亨,不通
差别,不同
与众不同,不同凡响
不当,不妥
不过,不外
有良心,不忘本
不夺农时,不违农时
不惟,不唯
不唯,不惟
不言而喻,不问可知
吊儿郎当,不务正业
不断,不息
不吝,不惜
平分秋色,不相上下
断绝往来,不相闻问
不用,不消
不可,不行
不断,不休
囚首垢面,不修边幅
生而知之,不学而能
观,不雅
不雅,不雅观
不问可知,不言而喻
不厌求详,不厌其详
不厌其详,不厌求详
没关系,不要紧
纷歧,不一
所在多有,不一而足
天经地义,不移至理
尽心尽力,不遗余力
